"lang"
{
    "Language"    "russian"
		"DOTA_Tooltip_ability_chen_divine_favor_lua"										"Divine Favor"
		"DOTA_Tooltip_ability_chen_divine_favor_lua_Description"							"Дарует герою пассивную ауру, которая увеличивает восстановление здоровья и броню."
		"DOTA_Tooltip_ability_chen_divine_favor_lua_Lore"									"Заразный фанатизм Чена привлекает сторонников и наполняет их силой."
		"DOTA_Tooltip_ability_chen_divine_favor_lua_armor"									"ДОП. БРОНЯ:"
		"DOTA_Tooltip_ability_chen_divine_favor_lua_heal_rate"								"ДОП. ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"

        "DOTA_Tooltip_modifier_chen_divine_favor_lua"										"Divine Favor"
		"DOTA_Tooltip_modifier_chen_divine_favor_lua_Description"							"Получает %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% восстановления здоровья и увеличивает броню на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		//Clinkz
		"DOTA_Tooltip_ability_clinkz_death_pact_custom"		"Death Pact"
		"DOTA_Tooltip_ability_clinkz_death_pact_custom_Description"		"Герой поглощает вражеское или союзное существо и на основе его текущего здоровья получает бонус к урону и максимальному здоровью. Применение не раскрывает невидимость от способности Skeleton Walk."
		"DOTA_Tooltip_ability_clinkz_death_pact_custom_Lore"    		"Связь жизни и смерти стала частью лучника, и теперь его старые кости наполняет жизнь каждого принесённого в жертву низшего существа."
		"DOTA_Tooltip_ability_clinkz_death_pact_custom_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_clinkz_death_pact_custom_health_gain_pct"			"%ДОП. ЗДОРОВЬЕ:"
		"DOTA_Tooltip_ability_clinkz_death_pact_custom_damage_gain_pct"			"%ДОП. УРОН:"
		"DOTA_Tooltip_modifier_clinkz_death_pact_custom"						"Death Pact"
		"DOTA_Tooltip_modifier_clinkz_death_pact_custom_Description"			"Максимальное здоровье увеличено на %dMODIFIER_PROPERTY_EXTRA_HEALTH_BONUS%, урон увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."

		"DOTA_Tooltip_ability_clinkz_wind_walk_custom"										"Skeleton Walk"
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_Description"							"Герой становится невидимым и передвигается сквозь других существ, пока не атакует или не применит предмет."
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_shard_description"					"Окончание способности сопровождается призывом %shard_skeleton_count% скелетов от Burning Army."
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_Lore"									"Вспышка огня, клубы дыма — и костяного лучника не видать."
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_Note0"								"Не сбивает применение большинста поддерживаемых умений и предметов."
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_Note1"								"Задержка перед невидимостью — %fade_time% сек."
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_duration"								"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_clinkz_wind_walk_custom_move_speed_bonus_pct"					"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_modifier_clinkz_wind_walk"						"Skeleton Walk"
		"DOTA_Tooltip_modifier_clinkz_wind_walk_Description"			"Невидим, скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Может проходить сквозь существ."

		// Clockwerk (rattletrap)

		// Crystal Maiden

		// Dark Seer
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua"								"Wall of Replica"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_Description"					"Создает стену преломленного света, которая наносит урон и создает копии любого вражеского героя, проходящего сквозь нее. Копии врага служат Dark Seer. Копии пропадут, если их уничтожить или если закончится время действия стены."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_Lore"							"Пусть Иш'Кафель и не в состоянии вернуться домой, силой своего разума он может призвать отрывок призматической стены, вызывая смятение в рядах врагов."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_Note0"							"Не создает иллюзии из иллюзий."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_Note1"							"Стены создает только одну иллюзию для каждого игрока, последующие стены усиляют существующую иллюзию."
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_Note2"							"Не замедляет юнитов под дейстием невосприимчивости к эффектам"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_duration"						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_tooltip_outgoing"				"%НАНОСИМЫЙ УРОН ИЛЛЮЗИЙ:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_tooltip_replica_total_damage_incoming"		"ПОЛУЧАЕМЫЙ УРОН ИЛЛЮЗИЙ:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_abilitycastrange"					"ДАЛЬНОСТЬ ПРИМЕНЕНЕИЯ:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_tooltip_outgoing_scepter"		"НАНОСИМЫЙ УРОН ИЛЛЮЗИЙ СО СКИПЕТРОМ:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_movement_slow"		            "ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_slow_duration"		            "ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
        "DOTA_Tooltip_ability_dark_seer_wall_of_replica_lua_wall_damage"					"УРОН:"

		"DOTA_Tooltip_modifier_dark_seer_wall_of_replica_lua_empower"						"Wall of Replica Empower"
		"DOTA_Tooltip_modifier_dark_seer_wall_of_replica_lua_empower_Description"			"Иллюзия усилена %dMODIFIER_PROPERTY_TOOLTIP% стаенами. Наносит на %MODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%% больше и получает на %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% меньше урона"

		"DOTA_Tooltip_ability_terrorblade_reflection_lua"										"Reflection"
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_Description"							"Создаёт неуязвимых тёмных двойников всех вражеских героев в указанной области. Каждый двойник атакует свою цель и замедляет её передвижение и атаку."
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_Lore"									"Заточённый в Колодце душ, демон-мародёр понял смысл древней поговорки: «Твой злейший враг — это ты сам». Теперь он учит этому других."
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_illusion_duration"						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_illusion_outgoing_tooltip"				"%УРОН ДВОЙНИКА:"
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_move_slow"								"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_attack_slow"							"%ЗАМЕДЛЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_range"									"РАДИУС:"
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_Note0"									"Двойники являются неуязвимыми иллюзиями."
		"DOTA_Tooltip_ability_terrorblade_reflection_lua_Note1"									"Двойники атакуют только исходных героев."

		// Dark Willow

		// Dawnbreaker

		// Dazzle
		"DOTA_Tooltip_ability_dazzle_bad_juju_Note0"    "Источники процентных уменьшений перезарядки не складываются."

		// Death Prophet

		// Disruptor

		// Doom (doom_bringer)
		"DOTA_Tooltip_ability_doom_devour_custom"    "Devour"
        "DOTA_Tooltip_ability_doom_devour_custom_Description"    "<font color='#70EA72'>Симулирует съедение случайного нейтрального крипа. Doom не получит свособностей крипа если автокаст включен.</font><br><br>Моментально даёт дополнительное золото и опыт, плюс дополнительную денежную награду после перезарядки Devour. Дополнительное золото потеряно, если Doom умирает до его получения.<br><br>Также дарует Doom умения случайного нейтрального крипа."
        "DOTA_Tooltip_ability_doom_devour_custom_Lore"    "Обжорство и жадность Люцифера неистощимы."
        "DOTA_Tooltip_ability_doom_devour_custom_cast_bonus_gold"    "МОМЕНТАЛЬНОЕ ЗОЛОТО:"
        "DOTA_Tooltip_ability_doom_devour_custom_cast_bonus_exp"    "МОМЕНТАЛЬНЫЙ ОПЫТ:"
        "DOTA_Tooltip_ability_doom_devour_custom_devour_bonus_gold"    "ОТЛОЖЕННОЕ ЗОЛОТО:"
		"DOTA_Tooltip_ability_doom_devour_custom_devour_bonus_armor"    "БОНУС К БРОНЕ:"
        "DOTA_Tooltip_modifier_doom_devour_custom"    "Devour"
        "DOTA_Tooltip_modifier_doom_devour_custom_Description"    "Переваривает воображаемого крипа. Получит дополнительное золото в конце процесса."
        "DOTA_Tooltip_ability_devour_speed_aura"    "#DOTA_Tooltip_ability_kobold_taskmaster_speed_aura"
        "DOTA_Tooltip_ability_devour_speed_aura_Description"    "#DOTA_Tooltip_ability_kobold_taskmaster_speed_aura_Description"
        "DOTA_Tooltip_modifier_devour_speed_aura_buff"    "#DOTA_Tooltip_modifier_kobold_taskmaster_speed_aura_bonus"
        "DOTA_Tooltip_ability_devour_cloak_aura"    "#DOTA_Tooltip_ability_mudgolem_cloak_aura"
        "DOTA_Tooltip_ability_devour_cloak_aura_Description"    "#DOTA_Tooltip_ability_mudgolem_cloak_aura_Description"
        "DOTA_Tooltip_modifier_devour_cloak_aura_buff"    "#DOTA_Tooltip_modifier_mudgolem_cloak_aura_bonus"
        "DOTA_Tooltip_ability_devour_endurance_aura"    "#DOTA_Tooltip_ability_centaur_khan_endurance_aura"
        "DOTA_Tooltip_ability_devour_endurance_aura_Description"    "#DOTA_Tooltip_ability_centaur_khan_endurance_aura_Description"
        "DOTA_Tooltip_modifier_devour_endurance_aura_buff"    "#DOTA_Tooltip_modifier_centaur_khan_endurance_aura_bonus"
        "DOTA_Tooltip_ability_devour_command_aura"    "#DOTA_Tooltip_ability_alpha_wolf_command_aura"
        "DOTA_Tooltip_ability_devour_command_aura_Description"    "#DOTA_Tooltip_ability_alpha_wolf_command_aura_Description"
        "DOTA_Tooltip_modifier_devour_command_aura_buff"    "#DOTA_Tooltip_modifier_alpha_wolf_command_aura_bonus"
        "DOTA_Tooltip_ability_devour_toughness_aura"    "#DOTA_Tooltip_ability_enraged_wildkin_toughness_aura"
        "DOTA_Tooltip_ability_devour_toughness_aura_Description"    "#DOTA_Tooltip_ability_enraged_wildkin_toughness_aura_Description"
        "DOTA_Tooltip_modifier_devour_toughness_aura_buff"    "#DOTA_Tooltip_modifier_enraged_wildkin_toughness_aura_bonus"
        "DOTA_Tooltip_ability_devour_unholy_aura"    "#DOTA_Tooltip_ability_satyr_hellcaller_unholy_aura"
        "DOTA_Tooltip_ability_devour_unholy_aura_Description"    "#DOTA_Tooltip_ability_satyr_hellcaller_unholy_aura_Description"
        "DOTA_Tooltip_modifier_devour_unholy_aura_buff"    "#DOTA_Tooltip_modifier_satyr_hellcaller_unholy_aura_bonus"
        "DOTA_Tooltip_ability_devour_mana_aura"    "#DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura"
        "DOTA_Tooltip_ability_devour_mana_aura_Description"    "#DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura_Description"
        "DOTA_Tooltip_modifier_devour_mana_aura_buff"    "#DOTA_Tooltip_modifier_forest_troll_high_priest_mana_aura_bonus"

		"DOTA_Tooltip_ability_devour_unholy_aura_health_regen"    "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ:"
        "DOTA_Tooltip_ability_devour_unholy_aura_radius"    "РАДИУС:"
        "DOTA_Tooltip_modifier_devour_unholy_aura_buff"    "#DOTA_Tooltip_modifier_satyr_hellcaller_unholy_aura_bonus"
        "DOTA_Tooltip_modifier_devour_unholy_aura_buff_Description"    "Восстановление здоровья увеличена на %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%."
        "DOTA_Tooltip_ability_devour_mana_aura"    "#DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura"
        "DOTA_Tooltip_ability_devour_mana_aura_Description"    "#DOTA_Tooltip_ability_forest_troll_high_priest_mana_aura_Description"
        "DOTA_Tooltip_ability_devour_mana_aura_mana_regen"    "ВОССТАНОВЛЕНИЕ МАНЫ:"
        "DOTA_Tooltip_ability_devour_mana_aura_radius"    "РАДИУС:"
        "DOTA_Tooltip_modifier_devour_mana_aura_buff"    "#DOTA_Tooltip_modifier_forest_troll_high_priest_mana_aura_bonus"
        "DOTA_Tooltip_modifier_devour_mana_aura_buff_Description"    "Восстановление маны увеличено на %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%."
		"DOTA_Tooltip_ability_devour_time_warp_aura"    "#DOTA_Tooltip_ability_frostbitten_golem_time_warp_aura"
        "DOTA_Tooltip_ability_devour_time_warp_aura_Description"    "#DOTA_Tooltip_ability_frostbitten_golem_time_warp_aura_Description"
        "DOTA_Tooltip_ability_devour_time_warp_aura_bonus_cdr"    "УМЕНЬШЕНИЕ ПЕРЕЗАРЯДОК:"
        "DOTA_Tooltip_ability_devour_time_warp_aura_radius"    "РАДИУС:"
        "DOTA_Tooltip_modifier_devour_time_warp_aura_buff"    "Time Warp"
        "DOTA_Tooltip_modifier_devour_time_warp_aura_buff_Description"    "Перезарядки заклинаний уменьшены на %dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%."
		"DOTA_Tooltip_ability_devour_disarm"						"Steal Weapon"
		"DOTA_Tooltip_ability_devour_disarm_Description"			"Каждая третья атака накладывает на жертву временное бессилие. Счётчик атак не увеличивается, пока способность на перезарядке."
		"DOTA_Tooltip_ability_devour_disarm_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_devour_disarm"						"Steal Weapon"
        "DOTA_Tooltip_modifier_devour_disarm_Description"			"Подготавливается к обезоруживающей атаке."
		"DOTA_Tooltip_ability_devour_break"							"Break"
		"DOTA_Tooltip_ability_devour_break_Description"				"Каждая атака накладывает на цель эффект истощения."
		"DOTA_Tooltip_ability_devour_break_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_devour_heal_amp_aura"    "#DOTA_Tooltip_ability_forest_troll_high_priest_heal_amp_aura"
        "DOTA_Tooltip_ability_devour_heal_amp_aura_Description"    "#DOTA_Tooltip_ability_forest_troll_high_priest_heal_amp_aura_Description"
        "DOTA_Tooltip_ability_devour_heal_amp_aura_heal_amp"    "%УСИЛЕНИЯ ЛЕЧЕНИЯ:"
        "DOTA_Tooltip_ability_devour_heal_amp_aura_radius"    "РАДИУС:"
        "DOTA_Tooltip_modifier_devour_heal_amp_aura_buff"    "Heal Amplification Aura"
        "DOTA_Tooltip_modifier_devour_heal_amp_aura_buff_Description"    "Усиление лечения увеличено на %dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_SOURCE%%%."
		"DOTA_Tooltip_ability_devour_enrage_attack_speed"							"Death Throe: Rush"
		"DOTA_Tooltip_ability_devour_enrage_attack_speed_Description" 				"Когда Hellbear умирает, все ближайшие союзники впадают в ярость, получая бонус к скорости атаки на короткое время."
		"DOTA_Tooltip_ability_devour_enrage_attack_speed_bonus_aspd" 				"СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_devour_enrage_attack_speed_radius" 					"РАДИУС:"
		"DOTA_Tooltip_ability_devour_enrage_attack_speed_duration" 					"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_devour_enrage_attack_speed_buff_Description" 		"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_ability_devour_enrage_damage_Description" 					"Когда Hellbear Smasher умирает, все ближайшие союзники впадают в бешенство, получая бонус к урону атаки на короткое время."
		"DOTA_Tooltip_ability_devour_enrage_damage_bonus_dmg_pct" 					"ДОП. БАЗОВЫЙ УРОН АТАКИ:"
		"DOTA_Tooltip_ability_devour_enrage_damage_radius" 							"РАДИУС:"
		"DOTA_Tooltip_ability_devour_enrage_damage_duration" 						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_devour_enrage_damage_buff_Description" 				"Урон увеличен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."
		"DOTA_Tooltip_ability_special_devour_ancients_chance" 						"Шанс {s:value}% на съедение Древнего Крипа"
		"DOTA_Tooltip_ability_devour_dragonhide_aura"								"#DOTA_Tooltip_ability_black_dragon_dragonhide_aura"
		"DOTA_Tooltip_ability_devour_dragonhide_aura_Description"					"#DOTA_Tooltip_ability_black_dragon_dragonhide_aura_Description"
		"DOTA_Tooltip_ability_devour_dragonhide_aura_bonus_armor"					"ДОПОЛНИТЕЛЬНАЯ БРОНЯ:"
		"DOTA_Tooltip_ability_devour_dragonhide_aura_radius"						"РАДИУС АУРЫ:"
		"DOTA_Tooltip_modifier_devour_dragonhide_aura_buff"							"Dragonhide Aura"
		"DOTA_Tooltip_modifier_devour_dragonhide_aura_buff_Description"				"Броня увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_ability_devour_hp_aura"										"#DOTA_Tooltip_ability_granite_golem_hp_aura"
		"DOTA_Tooltip_ability_devour_hp_aura_Description"							"#DOTA_Tooltip_ability_granite_golem_hp_aura_Description"
		"DOTA_Tooltip_ability_devour_hp_aura_bonus_hp"								"ПРОЦЕНТ ДОПОЛНИТЕЛЬНОГО ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_devour_hp_aura_radius"								"РАДИУС:"
		"DOTA_Tooltip_modifier_devour_hp_aura_buff"									"Granite Aura"
		"DOTA_Tooltip_modifier_devour_hp_aura_buff_Description"						"Здоровье увеличено %dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%."
		"DOTA_Tooltip_ability_devour_magic_amplification_aura"						"Magic Amplification Aura"
		"DOTA_Tooltip_ability_devour_magic_amplification_aura_Description"			"Взор этого существа делает врагов более уязвимыми к урону от заклинаний."
		"DOTA_Tooltip_ability_devour_magic_amplification_aura_spell_amp"			"%УВЕЛИЧЕНИЕ УРОНА ОТ ЗАКЛИНАНИЙ:"
		"DOTA_Tooltip_ability_devour_magic_amplification_aura_radius"				"РАДИУС:"
		"DOTA_Tooltip_modifier_devour_magic_amplification_aura_debuff"				"Magic Amplification Aura"
		"DOTA_Tooltip_modifier_devour_magic_amplification_aura_debuff_Description"	"Весь получаемый урон от заклинаний увеличивается на %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%."
		"DOTA_Tooltip_ability_devour_weakening_aura"								"Weakening Aura"
		"DOTA_Tooltip_ability_devour_weakening_aura_Description"					"Устрашающий размер этого существа делает врагов более уязвимыми к физическому урону."
		"DOTA_Tooltip_ability_devour_weakening_aura_armor_reduction"				"СНИЖЕНИЕ БРОНИ:"
		"DOTA_Tooltip_ability_devour_weakening_aura_radius"							"РАДИУС:"
